Model,Accuracy,Macro F1,Weighted F1
RoBERTa-base + Weighted Loss,0.8838006858987291,0.7598768450058051,0.8955016251055924
TF-IDF + Logistic Regression,0.8963082509582408,0.740577386836391,0.8942107708929783
Combined Word + Char TF-IDF + Linear SVM,0.8985273350817027,0.7368871555509952,0.895210936578539
Combined Word + Char TF-IDF + Linear SVM,0.8985273350817027,0.7368871555509952,0.895210936578539
TF-IDF + Linear SVM,0.8952995763566673,0.7343096424309993,0.8928609685207121
Char TF-IDF + Linear SVM,0.8878353843050232,0.7254889130262123,0.8874158309701518
